ID,Player,Span,Matches,Starts,Subs,Points,Tries,Conversions,Penalties,Drop Goals,GfM,Won,Lost,Drawn
524,Clive Wallis,1935-1935,1,1,0,0,0,0,0,0,0,0,1,0
525,Bob Alexander,1936-1939,14,14,0,6,2,0,0,0,0,7,7,0
526,Fred Moran,1936-1939,9,9,0,18,6,0,0,0,0,5,4,0
527,Thomas Corken,1937-1937,3,3,0,0,0,0,0,0,0,2,1,0
528,George Cromey,1937-1939,10,10,0,6,2,0,0,0,0,5,5,0
529,Blair Mayne,1937-1939,9,9,0,3,1,0,0,0,0,4,5,0
530,Charles Reidy,1937-1937,1,1,0,0,0,0,0,0,0,1,0,0
531,Ted Ryan,1937-1938,3,3,0,0,0,0,0,0,0,1,2,0
532,Maurice Daly,1938-1938,1,1,0,3,1,0,0,0,0,0,1,0
533,John Irwin,1938-1939,5,5,0,3,1,0,0,0,0,2,3,0
534,Victor Lyttle,1938-1939,3,3,0,0,0,0,0,0,0,2,1,0
535,David O'Loughlin,1938-1939,6,6,0,3,1,0,0,0,0,2,4,0
536,Ronald Craig,1938-1938,2,2,0,0,0,0,0,0,0,0,2,0
537,Hector Kennedy,1938-1938,2,2,0,0,0,0,0,0,0,0,2,0
538,Donough Tierney,1938-1939,3,3,0,0,0,0,0,0,0,1,2,0
539,Harry McKibbin,1938-1939,7,7,0,12,0,3,2,0,0,3,4,0
540,Desmond Torrens,1938-1939,4,4,0,3,1,0,0,0,0,2,2,0
541,Con Murphy,1939-1947,5,5,0,0,0,0,0,0,0,3,2,0
542,James Ryan,1939-1939,3,3,0,0,0,0,0,0,0,2,1,0
543,Charles Teehan,1939-1939,3,3,0,0,0,0,0,0,0,2,1,0
544,Thomas Headon,1939-1939,2,2,0,0,0,0,0,0,0,1,1,0
545,Robert Agar,1947-1950,10,10,0,0,0,0,0,0,0,5,4,1
546,Colm Callan,1947-1949,10,10,0,0,0,0,0,0,0,7,3,0
547,Ray Carroll,1947-1950,3,3,0,0,0,0,0,0,0,1,2,0
548,John Daly,1947-1948,7,7,0,3,1,0,0,0,0,5,2,0
549,John Harper,1947-1947,3,3,0,0,0,0,0,0,0,2,1,0
550,Donal Hingerty,1947-1947,4,4,0,0,0,0,0,0,0,2,2,0
551,Ernie Keeffe,1947-1948,6,6,0,0,0,0,0,0,0,3,3,0
552,Jackie Kyle,1947-1958,52,52,0,30,9,0,0,1,0,25,22,5
553,Bill McKay,1947-1952,29,29,0,9,3,0,0,0,0,16,10,3
554,Barney Mullan,1947-1948,8,8,0,36,6,6,2,0,0,6,2,0
555,Karl Mullen,1947-1952,28,28,0,0,0,0,0,0,0,16,9,3
556,Matthew Neely,1947-1947,4,4,0,0,0,0,0,0,0,2,2,0
557,Brendan Quinn,1947-1947,1,1,0,0,0,0,0,0,0,0,1,0
558,Kevin Quinn,1947-1953,5,5,0,3,0,0,1,0,0,2,2,1
559,Jack Monteith,1947-1947,3,3,0,0,0,0,0,0,0,2,1,0
560,Bertie O'Hanlon,1947-1950,12,12,0,9,3,0,0,0,0,9,2,1
561,Ernest Strathdee,1947-1949,9,9,0,0,0,0,0,0,0,7,2,0
562,Dudley Higgins,1947-1948,6,6,0,0,0,0,0,0,0,4,2,0
563,Mick Lane,1947-1953,19,19,0,3,1,0,0,0,0,10,6,3
564,Jimmy Corcoran,1947-1948,2,2,0,0,0,0,0,0,0,1,1,0
565,Albert McConnell,1947-1949,7,7,0,0,0,0,0,0,0,5,2,0
566,Desmond McCourt,1947-1947,1,1,0,0,0,0,0,0,0,0,1,0
567,William McKee,1947-1951,12,12,0,6,2,0,0,0,0,7,4,1
568,Jimmy Nelson,1947-1954,20,20,0,9,3,0,0,0,0,11,7,2
569,Kevin O'Flanagan,1947-1947,1,1,0,0,0,0,0,0,0,0,1,0
570,Paddy Reid,1947-1948,4,4,0,3,1,0,0,0,0,3,1,0
571,Richard Wilkinson,1947-1947,1,1,0,0,0,0,0,0,0,0,1,0
572,Jim McCarthy,1948-1955,28,28,0,24,8,0,0,0,0,15,10,3
573,Hugh de Lacy,1948-1948,2,2,0,0,0,0,0,0,0,2,0,0
574,John Mattsson,1948-1948,1,1,0,0,0,0,0,0,0,1,0,0
575,Des O'Brien,1948-1952,20,20,0,3,1,0,0,0,0,12,6,2
576,Mick O'Flanagan,1948-1948,1,1,0,0,0,0,0,0,0,1,0,0
577,Tom Clifford,1949-1952,19,19,0,3,1,0,0,0,0,10,7,2
578,Thomas Cullen,1949-1949,1,1,0,0,0,0,0,0,0,0,1,0
579,Tom Gavin,1949-1949,2,2,0,0,0,0,0,0,0,1,1,0
580,George Norton,1949-1951,11,11,0,41,0,7,9,0,0,7,3,1
581,Leslie Griffin,1949-1949,2,2,0,0,0,0,0,0,0,2,0,0
582,Noel Henderson,1949-1959,41,41,0,54,3,0,14,1,0,18,19,4
583,John Burgess,1950-1950,2,2,0,3,0,0,1,0,0,0,1,1
584,Arthur Curtis,1950-1950,3,3,0,3,1,0,0,0,0,1,1,1
585,Des McKibbin,1950-1951,8,8,0,3,0,0,1,0,0,4,2,2
586,Louis Crowe,1950-1950,3,3,0,3,1,0,0,0,0,1,2,0
587,George Phipps,1950-1952,5,5,0,0,0,0,0,0,0,1,4,0
588,John Blayney,1950-1950,1,1,0,3,1,0,0,0,0,1,0,0
