No.,Player,Position,Debut
490,Laurence McMahon,C,"v England Twickenham, 14 Feb 1931"
491,Victor Pike,H,"v England Twickenham, 14 Feb 1931"
492,John Entrican,FB,"v Scotland Lansdowne Road, 28 Feb 1931"
493,Dermot Morris,FB,"v Wales Belfast, 14 Mar 1931"
494,William Ross,F,"v England Lansdowne Road, 13 Feb 1932"
495,Michael Sheehan,SH,"v England Lansdowne Road, 13 Feb 1932"
496,Shaun Waide,W,"v England Lansdowne Road, 13 Feb 1932"
497,Ernest Ridgeway,FB,"v Scotland Murrayfield, 27 Feb 1932"
498,Robin Pratt,FB,"v England Twickenham, 11 Feb 1933"
499,Bobby Barnes,C,"v Wales Belfast, 11 Mar 1933"
500,Charles Beamish,P,"v Wales Belfast, 11 Mar 1933"
501,Paddy Coote,C,"v Scotland Lansdowne Road, 1 Apr 1933"
502,Joseph O'Connor,W,"v Scotland Lansdowne Road, 1 Apr 1933"
503,Mebs Bardon,F,"v England Lansdowne Road, 10 Feb 1934"
504,Bob Graves,H,"v England Lansdowne Road, 10 Feb 1934"
505,George Morgan,SH,"v England Lansdowne Road, 10 Feb 1934"
506,James Rearden,C,"v England Lansdowne Road, 10 Feb 1934"
507,Sam Walker,P,"v England Lansdowne Road, 10 Feb 1934"
508,Ham Lambert,C,"v Scotland Murrayfield, 24 Feb 1934"
509,David Lane,W,"v Scotland Murrayfield, 24 Feb 1934"
510,John Reid,FH,"v Scotland Murrayfield, 24 Feb 1934"
511,Aidan Bailey,C,"v Wales Swansea, 10 Mar 1934"
512,Daniel Langan,FB,"v Wales Swansea, 10 Mar 1934"
513,Noel McGrath,P,"v Wales Swansea, 10 Mar 1934"
514,John Megaw,N8,"v Wales Swansea, 10 Mar 1934"
515,Philip Crowe,C,"v England Twickenham, 9 Feb 1935"
516,Seamus Deering,L,"v England Twickenham, 9 Feb 1935"
517,Patrick Lawlor,F,"v England Twickenham, 9 Feb 1935"
518,Mike Sayers,F,"v England Twickenham, 9 Feb 1935"
519,Victor Hewitt,FH,"v Scotland Lansdowne Road, 23 Feb 1935"
520,Jack Doyle,W,"v Wales Belfast, 9 Mar 1935"
521,Vesey Boyle,W,"v New Zealand Lansdowne Road, 7 Dec 1935"
522,Thomas Dunn,P,"v New Zealand Lansdowne Road, 7 Dec 1935"
523,George Malcolmson,C,"v New Zealand Lansdowne Road, 7 Dec 1935"
524,Clive Wallis,P,"v New Zealand Lansdowne Road, 7 Dec 1935"
525,Bob Alexander,F,"v England Lansdowne Road, 8 Feb 1936"
526,Fred Moran,W,"v England Lansdowne Road, 8 Feb 1936"
527,Thomas Corken,H,"v England Twickenham, 13 Feb 1937"
528,George Cromey,FH,"v England Twickenham, 13 Feb 1937"
529,Blair Mayne,L,"v Wales Belfast, 3 Apr 1937"
530,Charles Reidy,P,"v Wales Belfast, 3 Apr 1937"
531,Ted Ryan,P,"v Wales Belfast, 3 Apr 1937"
532,Maurice Daly,W,"v England Lansdowne Road, 12 Feb 1938"
533,John Irwin,N8,"v England Lansdowne Road, 12 Feb 1938"
534,Victor Lyttle,W,"v England Lansdowne Road, 12 Feb 1938"
535,David O'Loughlin,P,"v England Lansdowne Road, 12 Feb 1938"
536,Ronald Craig,FB,"v Scotland Murrayfield, 26 Feb 1938"
537,Hector Kennedy,P,"v Scotland Murrayfield, 26 Feb 1938"
538,Donough Tierney,L,"v Scotland Murrayfield, 26 Feb 1938"
539,Harry McKibbin,C,"v Wales Swansea, 12 Mar 1938"
540,Desmond Torrens,C,"v Wales Swansea, 12 Mar 1938"
541,Con Murphy,FB,"v England Twickenham, 11 Feb 1939"
542,James Ryan,P,"v England Twickenham, 11 Feb 1939"
543,Charles Teehan,P,"v England Twickenham, 11 Feb 1939"
544,Thomas Headon,P,"v Scotland Lansdowne Road, 25 Feb 1939"
545,Robert Agar,N8,"v France Lansdowne Road, 25 Jan 1947"
546,Colm Callan,L,"v France Lansdowne Road, 25 Jan 1947"
547,Ray Carroll,SH,"v France Lansdowne Road, 25 Jan 1947"
548,John Daly,P,"v France Lansdowne Road, 25 Jan 1947"
549,John Harper,C,"v France Lansdowne Road, 25 Jan 1947"
550,Donal Hingerty,F,"v France Lansdowne Road, 25 Jan 1947"
551,Ernie Keeffe,L,"v France Lansdowne Road, 25 Jan 1947"
552,Jackie Kyle,FH,"v France Lansdowne Road, 25 Jan 1947"
553,Bill McKay,F,"v France Lansdowne Road, 25 Jan 1947"
554,Barney Mullan,W,"v France Lansdowne Road, 25 Jan 1947"
555,Karl Mullen,H,"v France Lansdowne Road, 25 Jan 1947"
556,Matthew Neely,P,"v France Lansdowne Road, 25 Jan 1947"
557,Brendan Quinn,W,"v France Lansdowne Road, 25 Jan 1947"
558,Kevin Quinn,C,"v France Lansdowne Road, 25 Jan 1947"
559,Jack Monteith,C,"v England Lansdowne Road, 8 Feb 1947"
560,Bertie O'Hanlon,W,"v England Lansdowne Road, 8 Feb 1947"
561,Ernest Strathdee,SH,"v England Lansdowne Road, 8 Feb 1947"
562,Dudley Higgins,FB,"v Scotland Murrayfield, 22 Feb 1947"
563,Mick Lane,C,"v Wales Swansea, 29 Mar 1947"
564,Jimmy Corcoran,P,"v Australia Lansdowne Road, 6 Dec 1947"
565,Albert McConnell,P,"v Australia Lansdowne Road, 6 Dec 1947"
566,Desmond McCourt,N8,"v Australia Lansdowne Road, 6 Dec 1947"
567,William McKee,W,"v Australia Lansdowne Road, 6 Dec 1947"
568,Jimmy Nelson,L,"v Australia Lansdowne Road, 6 Dec 1947"
569,Kevin O'Flanagan,W,"v Australia Lansdowne Road, 6 Dec 1947"
570,Paddy Reid,C,"v Australia Lansdowne Road, 6 Dec 1947"
571,Richard Wilkinson,L,"v Australia Lansdowne Road, 6 Dec 1947"
572,Jim McCarthy,F,"v France Colombes, 1 Jan 1948"
573,Hugh de Lacy,SH,"v England Twickenham, 14 Feb 1948"
574,John Mattsson,FB,"v England Twickenham, 14 Feb 1948"
575,Des O'Brien,N8,"v England Twickenham, 14 Feb 1948"
576,Mick O'Flanagan,C,"v Scotland Lansdowne Road, 28 Feb 1948"
577,Tom Clifford,P,"v France Lansdowne Road, 29 Jan 1949"
578,Thomas Cullen,SH,"v France Lansdowne Road, 29 Jan 1949"
579,Tom Gavin,C,"v France Lansdowne Road, 29 Jan 1949"
580,George Norton,FB,"v France Lansdowne Road, 29 Jan 1949"
581,Leslie Griffin,P,"v Scotland Murrayfield, 26 Feb 1949"
582,Noel Henderson,C,"v Scotland Murrayfield, 26 Feb 1949"
583,John Burgess,SH,"v France Colombes, 28 Jan 1950"
584,Arthur Curtis,F,"v France Colombes, 28 Jan 1950"
585,Des McKibbin,P,"v France Colombes, 28 Jan 1950"
586,Louis Crowe,W,"v England Twickenham, 11 Feb 1950"
587,George Phipps,C,"v England Twickenham, 11 Feb 1950"
588,John Blayney,C,"v Scotland Lansdowne Road, 25 Feb 1950"
589,Jack Molony,L,"v Scotland Lansdowne Road, 25 Feb 1950"
590,Hex Uprichard,C,"v Scotland Lansdowne Road, 25 Feb 1950"
591,Richard Chambers,C,"v France Lansdowne Road, 27 Jan 1951"
592,Cornelius Griffin,W,"v France Lansdowne Road, 27 Jan 1951"
593,John O'Meara,SH,"v France Lansdowne Road, 27 Jan 1951"
594,John Smith,P,"v France Lansdowne Road, 27 Jan 1951"
595,Harry Millar,W,"v England Lansdowne Road, 10 Feb 1951"
596,James Brady,L,"v Scotland Murrayfield, 24 Feb 1951"
597,Patrick Lawlor,L,"v Scotland Murrayfield, 24 Feb 1951"
598,Angus McMorrow,FB,"v Wales Cardiff, 10 Mar 1951"
599,Antony Browne,C,"v South Africa Lansdowne Road, 8 Dec 1951"
